Gembase Strain
ESCO.0722.00323 AN24
ESCO.0722.00324 B1747
ESCO.0722.00325 IAI37
ESCO.0722.00326 ECOR-40
ESCO.0722.00327 ECOR-02
ESCO.0722.00328 NILS16
ESCO.0722.00329 NILS01
ESCO.0722.00330 IAI07
ESCO.0722.00331 BL21
ESCO.0722.00332 H1-001-0027-S-G
ESCO.0722.00333 FN-B7
ESCO.0722.00334 001-031-c1
ESCO.0722.00335 NILS07
ESCO.0722.00336 NILS49
ESCO.0722.00337 ROAR419
ESCO.0722.00338 NILS46
ESCO.0722.00339 NILS35
ESCO.0722.00340 ECOR-19
ESCO.0722.00341 IAI42
ESCO.0722.00342 NILS17
ESCO.0722.00343 PDP21
ESCO.0722.00344 H1-005-0058-M-A
ESCO.0722.00345 C2-119
ESCO.0722.00346 AN03
ESCO.0722.00347 ECOR-41
ESCO.0722.00348 BCH953
ESCO.0722.00349 916A
ESCO.0722.00350 NILS04
ESCO.0722.00351 NILS09
ESCO.0722.00352 55989
ESCO.0722.00353 NILS08
ESCO.0722.00354 NILS32
ESCO.0722.00355 013-008
ESCO.0722.00356 ECOR-21
ESCO.0722.00357 NAN33
ESCO.0722.00358 colF12g
ESCO.0722.00359 DIJ06
ESCO.0722.00360 ECOR-38
ESCO.0722.00361 ROAR292
ESCO.0722.00362 S1-109
ESCO.0722.00363 ECOR-20
ESCO.0722.00364 ECOR-39
ESCO.0722.00365 NILS11
ESCO.0722.00366 381A
ESCO.0722.00367 IAI35
ESCO.0722.00368 H1-002-0064-E-M
ESCO.0722.00369 S1-76
ESCO.0722.00370 IAI25
ESCO.0722.00371 H14
ESCO.0722.00372 ECOR-06
ESCO.0722.00373 IAI11
ESCO.0722.00374 ECOR-13
ESCO.0722.00375 NIC06
ESCO.0722.00376 IAI14
ESCO.0722.00377 ECOR-35
ESCO.0722.00378 ECOR-49
ESCO.0722.00379 LM08
ESCO.0722.00380 NILS05
ESCO.0722.00381 IAI16
ESCO.0722.00382 NILS36
ESCO.0722.00383 H27
ESCO.0722.00384 NILS30
ESCO.0722.00385 ECOR-50
ESCO.0722.00386 B12I13
ESCO.0722.00387 ECOR-09
ESCO.0722.00388 IAI23
ESCO.0722.00389 NILS12
ESCO.0722.00390 IAI58
ESCO.0722.00391 IAI06
ESCO.0722.00392 IAI36
ESCO.0722.00393 S1-84
ESCO.0722.00394 E4962
ESCO.0722.00395 ECOR-36
ESCO.0722.00396 ECOR-23
ESCO.0722.00397 FN-B4
ESCO.0722.00398 NILS37
ESCO.0722.00399 NILS03
ESCO.0722.00400 H384
ESCO.0722.00401 S1-91
ESCO.0722.00402 E2052
ESCO.0722.00403 E_albertiiCIP107988T
ESCO.0722.00404 ROAR130
